名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
STAND POINT,33.583132,130.384541,餐飲,福岡,中央區・赤坂,"精品咖啡／位於工藝風向與 visvim 之間
★★★ 氛圍咖啡廳，剛好卡在工藝風向與 F.I.L. 中間，是這區的休息點。
福岡県福岡市中央区赤坂3-4-37 2F
營業：週一–週日 11:00–17:00
建議停留：30 分",google,https://www.google.com/maps/search/?api=1&query=STAND%20POINT%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%B5%A4%E5%9D%82
Shin-Shin 天神本店,33.59275,130.396845,餐飲,福岡,中央區,"博多らーめん Shin-Shin 天神本店
當地人票選前段班的博多拉麵，湯頭清爽不厚重，比觀光店更接近日常口味。
11:00–翌 03:00、週日休；用餐時段常排 20–30 分。
價位：約 ¥900
營業：11:00–翌 03:00（週日休）
建議停留：40 分",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20Shin-Shin%20%E5%A4%A9%E7%A5%9E%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80
VALIANT GALLERY.BAR,33.582851,130.396656,餐飲,福岡,中央區・今泉,"調酒／藝術展覽／塊根植物 Caudex
★★★★★ 藝廊酒吧，調酒＋展覽＋塊根植物，是這份清單裡最特別的夜間行程。
⚠️ Google 標示「永久歇業」——出發前務必再確認，可能已經收了。　酒吧性質，晚上才開；建議先查當期展覽。
福岡県福岡市中央区今泉2-3-18
建議停留：1–1.5 小時",google,https://www.google.com/maps/search/?api=1&query=VALIANT%20GALLERY.BAR%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E4%BB%8A%E6%B3%89
bbb haus,33.594197,130.148163,餐飲,福岡,糸島市・志摩小金丸,"海景咖啡／下午茶／生活選品／設計感民宿
糸島海邊的設計旅宿，附設咖啡與選品，是這條海線上質感最高的一站。
住宿另計；只喝咖啡也可以進去。
福岡県糸島市志摩小金丸1897
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=bbb%20haus%20%E7%B3%B8%E5%B3%B6%E5%B8%82%E3%83%BB%E5%BF%97%E6%91%A9%E5%B0%8F%E9%87%91%E4%B8%B8
うどん平,33.583126,130.41604,餐飲,福岡,博多區,"博多烏龍麵的另一家名店，跟葉隠うどん常被拿來比較。
⚠️ 只開午餐時段、賣完就關，週日休。
價位：約 ¥600–900
食べログ 3.67",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%E5%B9%B3%20%E5%8D%9A%E5%A4%9A%E5%8D%80
うなぎの原田,33.127404,130.432991,餐飲,福岡,柳川市,"柳川鰻魚的第四選擇。
食べログ 3.40",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E3%81%AE%E5%8E%9F%E7%94%B0%20%E6%9F%B3%E5%B7%9D%E5%B8%82
うなぎ処 川よし,33.163634,130.414201,餐飲,福岡,柳川市,"柳川鰻魚三強之一（本吉屋 3.68、若松屋 3.56、川よし 3.56），排隊通常比前兩家短。
食べログ 3.56",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%E5%87%A6%20%E5%B7%9D%E3%82%88%E3%81%97%20%E6%9F%B3%E5%B7%9D%E5%B8%82
かさの家（梅ヶ枝餅）,33.5199,130.534,餐飲,福岡,太宰府市,"かさの家
太宰府參道上的百年梅ヶ枝餅名店，現烤紅豆餡麻糬餅。
⚠️ 11:00 才開、17:30 打烊——2/10 從天滿宮下來要在 17:15 前進店。參道上十幾家都在賣，挑現烤的；每月 17 日限定艾草口味。年末年始・お盆・GW 與臨時休業另計（092-922-1010）。
價位：約 ¥130／個
營業：11:00–17:30
建議停留：20 分
食べログ 3.65",approx,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%95%E3%81%AE%E5%AE%B6%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
かろのうろん,33.592461,130.411012,餐飲,福岡,博多區,"1882 年創業，博多最老的烏龍麵店之一，就在櫛田神社步行圈——2/3 節分那天順路。
⚠️ 定休是週二，不是週三（2026-08-19 查證 HotPepper 與官方資訊：月・水・木・金・土・日 11:00–19:00，火曜休、遇假日營業）——本行程 2/3（週三）有開。⚠️ 麵售完就提早結束；店面小要排隊。1882（明治 15）年創業，博多最老的烏龍麵店之一。
價位：約 ¥600–900
營業：11:00–19:00（⚠️ 麵售完提早關，常 17 點左右就收）
食べログ 3.68",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%82%8D%E3%81%AE%E3%81%86%E3%82%8D%E3%82%93%20%E5%8D%9A%E5%A4%9A%E5%8D%80
すみ劇場 むさし坐,33.58779,130.403946,餐飲,福岡,中央區・渡邊通,"爐端燒／炭火串燒／喜多郎同集團
喜多郎壽司同集團的超人氣爐端燒／串燒居酒屋。
人氣店，建議預約。
福岡県福岡市中央区渡辺通5-5-12
營業：週一–週四 16:00–0:00｜週五–週六 15:00–0:00｜週日 15:00–23:00
建議停留：1.5–2 小時",google,https://www.google.com/maps/search/?api=1&query=%E3%81%99%E3%81%BF%E5%8A%87%E5%A0%B4%20%E3%82%80%E3%81%95%E3%81%97%E5%9D%90%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%B8%A1%E9%82%8A%E9%80%9A
せいもん払い,33.592747,130.410069,餐飲,福岡,博多區・中洲,"中洲的居酒屋兼海鮮料理，評分高但比割烹好進去，適合想吃玄界灘漁獲又不想太正式時。
⚠️ 只做晚餐（17:00 起）、週日休（2026-08-19 查證）——午餐去不了。櫛田神社旁川端商店街上的居酒屋，產地直送魚介，招牌是活花枝。
營業：17:00–23:45（L.O.23:00）；⚠️ 週日休
食べログ 3.77",google,https://www.google.com/maps/search/?api=1&query=%E3%81%9B%E3%81%84%E3%82%82%E3%82%93%E6%89%95%E3%81%84%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
たんか 本店（清川）,33.5796031,130.4092956,餐飲,福岡,中央區・清川,"たんか 清川本店
⭐ 食べログ「焼肉 WEST 百名店 2025」入選店，3.69 分卻只要 ¥4,000–8,000，是這批裡百名店等級 CP 值最好的一家。主打牛舌串燒。
⚠️ 兩點先確認：①它的主力是牛舌（牛タン）串燒與涮牛舌，不是傳統烤盤燒肉，想要「自己烤五花」的體驗要另外選；②18:00 才開。清川 2-19-28，東急STAY博多步行約 16 分、地鐵渡辺通站或西鐵巴士柳橋一帶下車較近。Google 4.1★／462 則。百名店建議訂位。
價位：約 ¥4,000–8,000
營業：18:00 起
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E3%81%9F%E3%82%93%E3%81%8B%20%E6%B8%85%E5%B7%9D%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%B8%85%E5%B7%9D
つきよし,33.596493,130.403936,餐飲,福岡,博多區・中洲,"居酒屋兼烏龍麵，中洲的在地口袋名單。
食べログ 3.73",google,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%81%8D%E3%82%88%E3%81%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
とり田 博多本店,33.596036,130.405893,餐飲,福岡,博多區,"博多水炊き名店，先喝一碗雞白湯再下料，是福岡冬天的另一個代表鍋物。
⚠️ 需訂位。定休日為不定休，2/2（二）一般正常營業；平日午晚餐之間 16:00–17:00 休息。（原註記：套餐約 ¥4,000 起，需訂位；町家改建的店面很有氣氛。）
價位：約 ¥4,000／人
營業：平日 11:30–16:00（L.O.15:00）／17:00–23:00（L.O.22:00）；週末假日 11:30–23:00
建議停留：1.5–2 小時
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E7%94%B0%20%E5%8D%9A%E5%A4%9A%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
にぎり塚本鮮魚店,33.546601,130.165311,餐飲,福岡,糸島市,"魚店直營的壽司，糸島最好入手的高分店之一。
食べログ 3.59",google,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%8E%E3%82%8A%E5%A1%9A%E6%9C%AC%E9%AE%AE%E9%AD%9A%E5%BA%97%20%E7%B3%B8%E5%B3%B6%E5%B8%82
にしむら（西村）,33.586153,130.412449,餐飲,福岡,博多區・博多站,"にしむら
博多地區食べログ第 1 名的壽司店。
⚠️ 完全預約制，2024/1 開業，主廚出身自 鮨さかい。高級店，需提前很久訂位，人均可能上萬日圓。⚠️ 午餐是 12:00 全員同時開始，遲到會影響整場。
營業：午 12:00–14:00（全員 12:00 同時開始）／晚 18:00 與 20:30 兩輪；⚠️ 週一午餐不營業
食べログ 4.07",google,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%97%E3%82%80%E3%82%89%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
またいちの塩 製塩所 工房とったん,33.577182,130.08974,餐飲,福岡,糸島市・志摩芥屋,"花鹽布丁／海景製鹽所／鹽味甜點
絕美海景製鹽所，招牌「花鹽布丁」配海景是糸島的經典畫面。
⚠️ 位置偏、路窄，沒車幾乎到不了；營業日與時間季節性調整，出發前查官網。
福岡県糸島市志摩芥屋3757
營業：週一–週日 10:00–17:00
建議停留：40–60 分",google,https://www.google.com/maps/search/?api=1&query=%E3%81%BE%E3%81%9F%E3%81%84%E3%81%A1%E3%81%AE%E5%A1%A9%20%E8%A3%BD%E5%A1%A9%E6%89%80%20%E5%B7%A5%E6%88%BF%E3%81%A8%E3%81%A3%E3%81%9F%E3%82%93%20%E7%B3%B8%E5%B3%B6%E5%B8%82%E3%83%BB%E5%BF%97%E6%91%A9%E8%8A%A5%E5%B1%8B
もつ鍋 極味や 福岡赤坂店,33.586928,130.391028,餐飲,福岡,中央區・赤坂,"⭐ 號稱「世界第一家清真對應的もつ鍋店」，使用清真認證調味料與分開的烹調器具，另有清真認證和牛。清真旅客也能吃到博多牛腸鍋這個名物。
⚠️ 需預約並註明清真；與天神的「極味や 漢堡排」是同集團但不同店。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%81%A4%E9%8D%8B%20%E6%A5%B5%E5%91%B3%E3%82%84%20%E7%A6%8F%E5%B2%A1%E8%B5%A4%E5%9D%82%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%B5%A4%E5%9D%82
やきとり五二六,33.588523,130.403718,餐飲,福岡,中央區・渡邊通,"炭火串燒／警固一帶
警固的人氣炭火串燒專賣店。
座位少，建議預約。
福岡県福岡市中央区渡辺通5-3-23-1
營業：週一–週六 17:00–0:00｜週日 17:00–23:00
建議停留：1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E4%BA%94%E4%BA%8C%E5%85%AD%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%B8%A1%E9%82%8A%E9%80%9A
やきとり六三四,33.588481,130.403784,餐飲,福岡,中央區・渡邊通,"炭火串燒／豚バラ／福岡風燒鳥
經典福岡炭火串燒居酒屋。福岡燒鳥的招牌是豬五花（豚バラ），和東京不一樣。
福岡県福岡市中央区渡辺通5-3-23-1 プロスペリタ天神1 Ⅱ 1F
營業：週一–週五 17:00–0:00｜週六 16:00–0:00｜週日 16:00–23:00
建議停留：1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A%E5%85%AD%E4%B8%89%E5%9B%9B%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%B8%A1%E9%82%8A%E9%80%9A
やす武,33.519358,130.532767,餐飲,福岡,太宰府市,"太宰府參道上的梅ヶ枝餅名店，分數比かさの家 略低但常被說更好吃，可以兩家都買來比。
食べログ 3.59",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%99%E6%AD%A6%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
やま中（もつ鍋本店）,33.591909,130.402613,餐飲,福岡,中央區・赤坂,"元祖もつ鍋 楽天地／やま中 本店
博多牛腸鍋的另一個代表，味噌鍋底是這家發揚出來的；本地人常把它排在おおやま之前。
⚠️ 需訂位，人均約 ¥4,000–5,000。
價位：約 ¥4,000–5,000
營業：17:00–23:00
建議停留：2 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E3%82%82%E3%81%A4%E9%8D%8B%20%E6%A5%BD%E5%A4%A9%E5%9C%B0%EF%BC%8F%E3%82%84%E3%81%BE%E4%B8%AD%20%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%B5%A4%E5%9D%82
クッカーニャ,33.589119,130.398521,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.04）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.04",area,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%83%E3%82%AB%E3%83%BC%E3%83%8B%E3%83%A3%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
サフラン,33.163793,130.429522,餐飲,福岡,柳川市,"柳川第 2 名——在一整排鰻魚店裡殺出來的漢堡排店，不想吃鰻魚時的選擇。
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%95%E3%83%A9%E3%83%B3%20%E6%9F%B3%E5%B7%9D%E5%B8%82
ザエカ（Zaika）,33.591625,130.393516,餐飲,福岡,中央區,"ザエカ 福岡
福岡在地穆斯林社群常去的巴基斯坦料理店，Yelp 福岡清真榜前段班。
⚠️ 供餐內容可能異動，建議先致電確認。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%82%A8%E3%82%AB%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80
チョコレートショップ 博多の石畳,33.590458,130.420013,餐飲,福岡,博多區,"博多老字號巧克力店，招牌「博多の石畳」是伴手禮與下午茶的常勝軍。
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A7%E3%82%B3%E3%83%AC%E3%83%BC%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E5%8D%9A%E5%A4%9A%E3%81%AE%E7%9F%B3%E7%95%B3%20%E5%8D%9A%E5%A4%9A%E5%8D%80
トルコレストラン・エルトゥールル,33.590312,130.398059,餐飲,福岡,中央區,"トルコレストラン エルトゥールル
店名取自 1890 年在和歌山遇難的土耳其軍艦「埃爾圖魯爾號」，福岡的土耳其清真料理選擇。
⚠️ 出發前請再確認營業狀況。
清真：True",area,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%AB%E3%82%B3%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%A8%E3%83%AB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%AB%20%E4%B8%AD%E5%A4%AE%E5%8D%80
ドゥワンチャン,33.512141,130.129343,餐飲,福岡,糸島市,"糸島第 1 名，泰式料理——在海鮮為主的糸島是意外的第一名。
食べログ 3.65",google,https://www.google.com/maps/search/?api=1&query=%E3%83%89%E3%82%A5%E3%83%AF%E3%83%B3%E3%83%81%E3%83%A3%E3%83%B3%20%E7%B3%B8%E5%B3%B6%E5%B8%82
ハラールフードマルハバ,33.624209,130.428907,餐飲,福岡,東區・箱崎,"箱崎的巴基斯坦料理店兼清真食材店，九州大學留學生社群的老據點。
⚠️ 位於東區箱崎，離博多站約 15 分（地鐵箱崎線）。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%A9%E3%83%BC%E3%83%AB%E3%83%95%E3%83%BC%E3%83%89%E3%83%9E%E3%83%AB%E3%83%8F%E3%83%90%20%E6%9D%B1%E5%8D%80%E3%83%BB%E7%AE%B1%E5%B4%8E
ハート・ストリングス,33.593842,130.406148,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.83）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.83",area,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%BC%E3%83%88%E3%83%BB%E3%82%B9%E3%83%88%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B9%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
ミスターケバブ（Mr. Kebab）,33.657121,130.429953,餐飲,福岡,中央區,"ミスターケバブ 福岡
福岡少數持有正式「ハラール認証」的餐廳，土耳其料理。
⚠️ 認證與供餐內容可能異動，出發前請上店家或 Halal Gourmet Japan 再確認。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%B1%E3%83%90%E3%83%96%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80
ルアン HOTEL CULTIA 太宰府,33.520947,130.533756,餐飲,福岡,太宰府市,"古民家改建旅館裡的法式餐廳，太宰府少見的正式用餐選擇。
⚠️ 需訂位。
食べログ 3.54",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%82%A2%E3%83%B3%20HOTEL%20CULTIA%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
レストラン アレナ,33.58991,130.397802,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.16）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.16",area,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%A2%E3%83%AC%E3%83%8A%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
レストランエッサンス,33.517918,130.535593,餐飲,福岡,太宰府市,"太宰府市內的法式餐廳，午間套餐較好入手。
食べログ 3.53",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%82%A8%E3%83%83%E3%82%B5%E3%83%B3%E3%82%B9%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
一幸舍（博多本店）,33.588244,130.417078,餐飲,福岡,博多區,"博多一幸舎 博多本店
博多「泡系」豚骨的代表，湯頭表面浮著細泡、濃度高但不腥，在拉麵迷之間評價比觀光名店高。
約 ¥900–1,200；運河城拉麵競技場也有分店。
價位：約 ¥900–1,200
營業：11:00–23:00
建議停留：30 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E4%B8%80%E5%B9%B8%E8%88%8E%20%E5%8D%9A%E5%A4%9A%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
一蘭本社總店,33.5931,130.4055,餐飲,福岡,博多區,"一蘭 本社総本店
一蘭發源地，只有本社總店吃得到「釜醬拉麵」重箱版本，24 小時營業。
位於中洲；深夜與凌晨反而不用排隊。
價位：約 ¥1,000–1,500
營業：24 小時
建議停留：40 分",approx,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E8%98%AD%20%E6%9C%AC%E7%A4%BE%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
三原豆腐店,33.591151,130.405746,餐飲,福岡,中央區・天神,"豆腐料理專門店，在以肉與海鮮為主的福岡是很特別的一家。
⚠️ 西中洲本店只做晚餐；想吃午餐要去渡邊通的別館（2026-08-19 查證）。豆腐料理專門店，在以肉與海鮮為主的福岡是很特別的一家。
營業：本店（西中洲）17:30–01:00、⚠️ 週日休／別館（渡邊通）午 11:00–15:00・晚 16:30–22:00、週日休
食べログ 3.78",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%8E%9F%E8%B1%86%E8%85%90%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
中洲 松,33.592873,130.404761,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.92）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.92",area,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%20%E6%9D%BE%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
中洲屋台 紀文,33.590478,130.4082,餐飲,福岡,博多區・中洲,"中洲屋台裡評分最高的一攤——2/1 晚上要吃屋台的話，直接找這攤。
⚠️ 露天、現金、無廁所；2 月很冷要穿夠。位置每天在那珂川岸邊。
食べログ 3.72",nominatim,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%E5%B1%8B%E5%8F%B0%20%E7%B4%80%E6%96%87%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
中洲屋台街,33.589941,130.40894,餐飲,福岡,博多區,"中洲屋台
那珂川岸邊的路邊攤群是福岡最有代表性的夜生活，冬天邊喝邊吃暖鍋最有氣氛。
約 18:00 開到深夜，週一與雨天多休；多為現金、無廁所、每攤約 ¥2,000–3,000。冬天露天很冷務必保暖。
價位：約 ¥2,000–3,000／人
營業：約 18:00–24:00
建議停留：1–1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%E5%B1%8B%E5%8F%B0%20%E5%8D%9A%E5%A4%9A%E5%8D%80
串揚げはやし,33.591034,130.410112,餐飲,福岡,博多區・博多站,"博多第 2 名，炸串專門店，一串一串上桌的職人式吃法。
⚠️ 只有 ¥9,680 的おまかせコース、席數少、必須預約（前一天前更保險）（2026-08-19 查證）——不是能臨時走進去的午餐店。吧檯座為主，四年連續食べログ銅賞。
食べログ 3.99",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%B2%E6%8F%9A%E3%81%92%E3%81%AF%E3%82%84%E3%81%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
人形町今半 JR博多シティ店,33.5893,130.4207,餐飲,福岡,博多區・博多站,"人形町今半 ＪＲ博多シティ店
⭐ 1895 年創業於東京人形町的壽喜燒老舖，食べログ すき焼き 百名店 2024、3.66 分——這是它在九州唯一的店。位置在 JR博多シティ（AMU PLAZA 博多）9F「くうてん」，博多站直通、走出來就是行李與機場動線，回程日當最後一頓正餐最省力。仲居會到桌邊幫你煎第一片肉。
⚠️ 全時段加收 12% 服務費，午餐實付要往上抓。⚠️ 只有 56 席、百名店，務必先訂位（食べログ／官網可訂）。午餐時段 11:00–16:00 中間不休息，但 12:00–13:30 是尖峰。💡 想省錢就點午間的「今半膳」；想吃到經典壽喜燒鍋就直接點すき焼き。
價位：午 ¥5,000–5,999／晚 ¥10,000–14,999（另加 12% 服務費）
營業：11:00–16:00／17:00–22:00（餐點 LO 20:30），無定休
建議停留：1–1.5 小時
食べログ 3.66",manual,https://www.google.com/maps/search/?api=1&query=%E4%BA%BA%E5%BD%A2%E7%94%BA%E4%BB%8A%E5%8D%8A%20%EF%BC%AA%EF%BC%B2%E5%8D%9A%E5%A4%9A%E3%82%B7%E3%83%86%E3%82%A3%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
元祖本吉屋（鰻魚蒸籠飯）,33.167961,130.411063,餐飲,福岡,柳川市,"元祖本吉屋
1681 年創業、蒸籠飯的元祖店，柳川鰻魚的源頭。
約 ¥4,000 起；本店離市中心稍遠，動線上可選沖端店。
價位：約 ¥4,000 起
營業：11:00–20:00
建議停留：1 小時
食べログ 3.68",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E6%9C%AC%E5%90%89%E5%B1%8B%20%E6%9F%B3%E5%B7%9D%E5%B8%82
元祖長濱屋,33.591746,130.385294,餐飲,福岡,中央區,"元祖長浜屋
長濱拉麵的原點，只賣一種拉麵、¥600 上下，坐下就上，最粗獷的博多體驗。
現金為主、翻桌極快；點法：麵硬度（かた／なま）與替玉要先講。
價位：約 ¥600
營業：06:00–20:45
建議停留：25 分",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E9%95%B7%E6%B5%9C%E5%B1%8B%20%E4%B8%AD%E5%A4%AE%E5%8D%80
力飯店,33.5911972,130.4037901,餐飲,福岡,中央區・西中洲,"食べログ 3.67，是天神／中洲一帶除了焼肉すどう 以外分數最高的燒肉。位置在西中洲——天神步行 5 分、中洲屋台街步行 6 分，正好卡在兩個行程點中間。Google 4.4★。
中央區西中洲 12-21。⚠️ 17:00 開，人均超過 ¥10,000（食べログ帶 ¥10,000–14,999），需訂位。西中洲是福岡的高級餐飲區，同一條街上都是熟客制的店。
價位：人均 ¥10,000 以上
營業：17:00 起
食べログ 3.67",google,https://www.google.com/maps/search/?api=1&query=%E5%8A%9B%E9%A3%AF%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%A5%BF%E4%B8%AD%E6%B4%B2
博多 喜多郎寿し,33.588463,130.403512,餐飲,福岡,中央區・渡邊通,"鯖魚／黑喉（のどぐろ）／壽司居酒屋
壽司居酒屋，板友點名必吃鯖魚與黑喉；同集團還有すみ劇場 むさし坐。
晚餐時段建議預約。
福岡県福岡市中央区渡辺通5-2-9 1F
營業：週一–週六 17:00–0:00｜週日 17:00–23:00
建議停留：1.5–2 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%20%E5%96%9C%E5%A4%9A%E9%83%8E%E5%AF%BF%E3%81%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E6%B8%A1%E9%82%8A%E9%80%9A
