名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
かろのうろん,33.592461,130.411012,餐飲,福岡,博多區,"1882 年創業，博多最老的烏龍麵店之一，就在櫛田神社步行圈——2/3 節分那天順路。
⚠️ 週三休；店面小要排隊。
價位：約 ¥600–900
食べログ 3.68",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%82%8D%E3%81%AE%E3%81%86%E3%82%8D%E3%82%93%20%E5%8D%9A%E5%A4%9A%E5%8D%80
せいもん払い,33.592747,130.410069,餐飲,福岡,博多區・中洲,"中洲的居酒屋兼海鮮料理，評分高但比割烹好進去，適合想吃玄界灘漁獲又不想太正式時。
⚠️ 建議訂位。
食べログ 3.77",google,https://www.google.com/maps/search/?api=1&query=%E3%81%9B%E3%81%84%E3%82%82%E3%82%93%E6%89%95%E3%81%84%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
つきよし,33.596493,130.403936,餐飲,福岡,博多區・中洲,"居酒屋兼烏龍麵，中洲的在地口袋名單。
食べログ 3.73",google,https://www.google.com/maps/search/?api=1&query=%E3%81%A4%E3%81%8D%E3%82%88%E3%81%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
とり田 博多本店,33.596036,130.405893,餐飲,福岡,博多區,"博多水炊き名店，先喝一碗雞白湯再下料，是福岡冬天的另一個代表鍋物。
⚠️ 需訂位。定休日為不定休，2/2（二）一般正常營業；平日午晚餐之間 16:00–17:00 休息。（原註記：套餐約 ¥4,000 起，需訂位；町家改建的店面很有氣氛。）
價位：約 ¥4,000／人
營業：平日 11:30–16:00（L.O.15:00）／17:00–23:00（L.O.22:00）；週末假日 11:30–23:00
建議停留：1.5–2 小時
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E7%94%B0%20%E5%8D%9A%E5%A4%9A%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
にぎり塚本鮮魚店,33.546601,130.165311,餐飲,福岡,糸島市,"魚店直營的壽司，糸島最好入手的高分店之一。
食べログ 3.59",google,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%8E%E3%82%8A%E5%A1%9A%E6%9C%AC%E9%AE%AE%E9%AD%9A%E5%BA%97%20%E7%B3%B8%E5%B3%B6%E5%B8%82
にしむら（西村）,33.586153,130.412449,餐飲,福岡,博多區・博多站,"にしむら
博多地區食べログ第 1 名的壽司店。
⚠️ 高級店，需提前很久訂位，人均可能上萬日圓。
食べログ 4.07",google,https://www.google.com/maps/search/?api=1&query=%E3%81%AB%E3%81%97%E3%82%80%E3%82%89%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
もつ鍋 極味や 福岡赤坂店,33.586928,130.391028,餐飲,福岡,中央區・赤坂,"⭐ 號稱「世界第一家清真對應的もつ鍋店」，使用清真認證調味料與分開的烹調器具，另有清真認證和牛。清真旅客也能吃到博多牛腸鍋這個名物。
⚠️ 需預約並註明清真；與天神的「極味や 漢堡排」是同集團但不同店。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%82%82%E3%81%A4%E9%8D%8B%20%E6%A5%B5%E5%91%B3%E3%82%84%20%E7%A6%8F%E5%B2%A1%E8%B5%A4%E5%9D%82%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%B5%A4%E5%9D%82
やす武,33.519358,130.532767,餐飲,福岡,太宰府市,"太宰府參道上的梅ヶ枝餅名店，分數比かさの家 略低但常被說更好吃，可以兩家都買來比。
食べログ 3.59",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%99%E6%AD%A6%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
やま中（もつ鍋本店）,33.591909,130.402613,餐飲,福岡,中央區・赤坂,"元祖もつ鍋 楽天地／やま中 本店
博多牛腸鍋的另一個代表，味噌鍋底是這家發揚出來的；本地人常把它排在おおやま之前。
⚠️ 需訂位，人均約 ¥4,000–5,000。
價位：約 ¥4,000–5,000
營業：17:00–23:00
建議停留：2 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E3%82%82%E3%81%A4%E9%8D%8B%20%E6%A5%BD%E5%A4%A9%E5%9C%B0%EF%BC%8F%E3%82%84%E3%81%BE%E4%B8%AD%20%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E8%B5%A4%E5%9D%82
クッカーニャ,33.589119,130.398521,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.04）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.04",area,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%83%E3%82%AB%E3%83%BC%E3%83%8B%E3%83%A3%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
サフラン,33.163793,130.429522,餐飲,福岡,柳川市,"柳川第 2 名——在一整排鰻魚店裡殺出來的漢堡排店，不想吃鰻魚時的選擇。
食べログ 3.66",google,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%95%E3%83%A9%E3%83%B3%20%E6%9F%B3%E5%B7%9D%E5%B8%82
ザエカ（Zaika）,33.591625,130.393516,餐飲,福岡,中央區,"ザエカ 福岡
福岡在地穆斯林社群常去的巴基斯坦料理店，Yelp 福岡清真榜前段班。
⚠️ 供餐內容可能異動，建議先致電確認。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%82%B6%E3%82%A8%E3%82%AB%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80
チョコレートショップ 博多の石畳,33.590458,130.420013,餐飲,福岡,博多區,"博多老字號巧克力店，招牌「博多の石畳」是伴手禮與下午茶的常勝軍。
食べログ 3.69",google,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A7%E3%82%B3%E3%83%AC%E3%83%BC%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E5%8D%9A%E5%A4%9A%E3%81%AE%E7%9F%B3%E7%95%B3%20%E5%8D%9A%E5%A4%9A%E5%8D%80
トルコレストラン・エルトゥールル,33.590312,130.398059,餐飲,福岡,中央區,"トルコレストラン エルトゥールル
店名取自 1890 年在和歌山遇難的土耳其軍艦「埃爾圖魯爾號」，福岡的土耳其清真料理選擇。
⚠️ 出發前請再確認營業狀況。
清真：True",area,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%AB%E3%82%B3%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%A8%E3%83%AB%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%AB%20%E4%B8%AD%E5%A4%AE%E5%8D%80
ドゥワンチャン,33.512141,130.129343,餐飲,福岡,糸島市,"糸島第 1 名，泰式料理——在海鮮為主的糸島是意外的第一名。
食べログ 3.65",google,https://www.google.com/maps/search/?api=1&query=%E3%83%89%E3%82%A5%E3%83%AF%E3%83%B3%E3%83%81%E3%83%A3%E3%83%B3%20%E7%B3%B8%E5%B3%B6%E5%B8%82
ハラールフードマルハバ,33.624209,130.428907,餐飲,福岡,東區・箱崎,"箱崎的巴基斯坦料理店兼清真食材店，九州大學留學生社群的老據點。
⚠️ 位於東區箱崎，離博多站約 15 分（地鐵箱崎線）。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%A9%E3%83%BC%E3%83%AB%E3%83%95%E3%83%BC%E3%83%89%E3%83%9E%E3%83%AB%E3%83%8F%E3%83%90%20%E6%9D%B1%E5%8D%80%E3%83%BB%E7%AE%B1%E5%B4%8E
ハート・ストリングス,33.593842,130.406148,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.83）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.83",area,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%BC%E3%83%88%E3%83%BB%E3%82%B9%E3%83%88%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B9%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
ミスターケバブ（Mr. Kebab）,33.657121,130.429953,餐飲,福岡,中央區,"ミスターケバブ 福岡
福岡少數持有正式「ハラール認証」的餐廳，土耳其料理。
⚠️ 認證與供餐內容可能異動，出發前請上店家或 Halal Gourmet Japan 再確認。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%B1%E3%83%90%E3%83%96%20%E7%A6%8F%E5%B2%A1%20%E4%B8%AD%E5%A4%AE%E5%8D%80
ルアン HOTEL CULTIA 太宰府,33.520947,130.533756,餐飲,福岡,太宰府市,"古民家改建旅館裡的法式餐廳，太宰府少見的正式用餐選擇。
⚠️ 需訂位。
食べログ 3.54",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%82%A2%E3%83%B3%20HOTEL%20CULTIA%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
レストラン アレナ,33.58991,130.397802,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.16）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.16",area,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%20%E3%82%A2%E3%83%AC%E3%83%8A%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
レストランエッサンス,33.517918,130.535593,餐飲,福岡,太宰府市,"太宰府市內的法式餐廳，午間套餐較好入手。
食べログ 3.53",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%82%A8%E3%83%83%E3%82%B5%E3%83%B3%E3%82%B9%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
一幸舍（博多本店）,33.588244,130.417078,餐飲,福岡,博多區,"博多一幸舎 博多本店
博多「泡系」豚骨的代表，湯頭表面浮著細泡、濃度高但不腥，在拉麵迷之間評價比觀光名店高。
約 ¥900–1,200；運河城拉麵競技場也有分店。
價位：約 ¥900–1,200
營業：11:00–23:00
建議停留：30 分",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E4%B8%80%E5%B9%B8%E8%88%8E%20%E5%8D%9A%E5%A4%9A%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
一蘭本社總店,33.5931,130.4055,餐飲,福岡,博多區,"一蘭 本社総本店
一蘭發源地，只有本社總店吃得到「釜醬拉麵」重箱版本，24 小時營業。
位於中洲；深夜與凌晨反而不用排隊。
價位：約 ¥1,000–1,500
營業：24 小時
建議停留：40 分",approx,https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E8%98%AD%20%E6%9C%AC%E7%A4%BE%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
三原豆腐店,33.591151,130.405746,餐飲,福岡,中央區・天神,"豆腐料理專門店，在以肉與海鮮為主的福岡是很特別的一家。
⚠️ 需訂位。
食べログ 3.78",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E5%8E%9F%E8%B1%86%E8%85%90%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
中洲 松,33.592873,130.404761,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.92）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.92",area,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%20%E6%9D%BE%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
中洲屋台 紀文,33.590478,130.4082,餐飲,福岡,博多區・中洲,"中洲屋台裡評分最高的一攤——2/1 晚上要吃屋台的話，直接找這攤。
⚠️ 露天、現金、無廁所；2 月很冷要穿夠。位置每天在那珂川岸邊。
食べログ 3.72",nominatim,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%E5%B1%8B%E5%8F%B0%20%E7%B4%80%E6%96%87%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
中洲屋台街,33.589941,130.40894,餐飲,福岡,博多區,"中洲屋台
那珂川岸邊的路邊攤群是福岡最有代表性的夜生活，冬天邊喝邊吃暖鍋最有氣氛。
約 18:00 開到深夜，週一與雨天多休；多為現金、無廁所、每攤約 ¥2,000–3,000。冬天露天很冷務必保暖。
價位：約 ¥2,000–3,000／人
營業：約 18:00–24:00
建議停留：1–1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E6%B4%B2%E5%B1%8B%E5%8F%B0%20%E5%8D%9A%E5%A4%9A%E5%8D%80
串揚げはやし,33.591034,130.410112,餐飲,福岡,博多區・博多站,"博多第 2 名，炸串專門店，一串一串上桌的職人式吃法。
⚠️ 需訂位；吧檯座為主。
食べログ 3.99",google,https://www.google.com/maps/search/?api=1&query=%E4%B8%B2%E6%8F%9A%E3%81%92%E3%81%AF%E3%82%84%E3%81%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
元祖本吉屋（鰻魚蒸籠飯）,33.167961,130.411063,餐飲,福岡,柳川市,"元祖本吉屋
1681 年創業、蒸籠飯的元祖店，柳川鰻魚的源頭。
約 ¥4,000 起；本店離市中心稍遠，動線上可選沖端店。
價位：約 ¥4,000 起
營業：11:00–20:00
建議停留：1 小時
食べログ 3.68",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E6%9C%AC%E5%90%89%E5%B1%8B%20%E6%9F%B3%E5%B7%9D%E5%B8%82
元祖長濱屋,33.591746,130.385294,餐飲,福岡,中央區,"元祖長浜屋
長濱拉麵的原點，只賣一種拉麵、¥600 上下，坐下就上，最粗獷的博多體驗。
現金為主、翻桌極快；點法：麵硬度（かた／なま）與替玉要先講。
價位：約 ¥600
營業：06:00–20:45
建議停留：25 分",google,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E7%A5%96%E9%95%B7%E6%B5%9C%E5%B1%8B%20%E4%B8%AD%E5%A4%AE%E5%8D%80
博多 魚蔵（都ホテル博多）,33.5897,130.422761,餐飲,福岡,博多區・博多站,"博多 魚蔵 都ホテル博多
⭐ 福岡官方觀光網站列出的穆斯林對應餐廳。用經過清真認證的肉、不含豬肉與酒精的調味料做日本料理——這是清真旅客在福岡最容易吃到「日式正餐」的地方，而且就在博多站旁（你住東急STAY博多，走得到）。
⚠️ 需事先預約並告知清真需求；供餐內容可能異動。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%20%E9%AD%9A%E8%94%B5%20%E9%83%BD%E3%83%9B%E3%83%86%E3%83%AB%E5%8D%9A%E5%A4%9A%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
博多もつ鍋 おおやま,33.588847,130.419729,餐飲,福岡,博多區,"博多もつ鍋おおやま
博多牛腸鍋的代表店之一，味噌鍋底濃厚，冬天暖身首選。
⚠️ 需訂位。本店只做晚餐（16:00 才開），中午去會吃到閉門羹；只休 12/31・1/1（另有不定休）。KITTE 博多等分店時間不同、中午有開。（原註記：博多站 KITTE 地下與本店都有；晚餐務必訂位。）
價位：約 ¥3,000–4,000／人
營業：本店 16:00–23:00（L.O.22:00）
建議停留：1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E3%82%82%E3%81%A4%E9%8D%8B%E3%81%8A%E3%81%8A%E3%82%84%E3%81%BE%20%E5%8D%9A%E5%A4%9A%E5%8D%80
博多もつ鍋 徳永屋 総本店,33.594423,130.41141,餐飲,福岡,博多區,"博多牛腸鍋在 Tabelog 排最前面的一家（比おおやま、やま中都高），冬天首選。
⚠️ 需訂位。
食べログ 3.73",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E3%82%82%E3%81%A4%E9%8D%8B%20%E5%BE%B3%E6%B0%B8%E5%B1%8B%20%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
博多一双 博多駅東本店,33.586378,130.4251,餐飲,福岡,博多區,"博多站附近評分最高的拉麵，泡系豚骨的代表；湯頭表面浮著細密泡沫。
博多站筑紫口步行約 5 分；用餐時段排隊。
價位：約 ¥900
食べログ 3.72",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E4%B8%80%E5%8F%8C%20%E5%8D%9A%E5%A4%9A%E9%A7%85%E6%9D%B1%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
博多名代 吉塚うなぎ屋,33.592607,130.408956,餐飲,福岡,博多區・中洲,"1873 年創業的博多鰻魚老店，中洲河畔。若 2/11 柳川的鰻魚沒吃夠，這裡是市區版本。
⚠️ 用餐時段排隊；價位約 ¥4,000 起。
價位：約 ¥4,000 起
食べログ 3.71",google,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E5%90%8D%E4%BB%A3%20%E5%90%89%E5%A1%9A%E3%81%86%E3%81%AA%E3%81%8E%E5%B1%8B%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
因幡烏龍麵（博多站前店）,33.59059,130.421134,餐飲,福岡,博多區,"因幡うどん 博多デイトス店
福岡其實是烏龍麵之鄉，湯頭清、麵體軟，跟讚岐的彈牙路線完全不同。牛蒡天婦羅烏龍麵是本地標準點法。
一碗約 ¥600–800，翻桌快不用排太久。博多站內的分店官方名是「博多デイトス店」（博多站デイトス內，另有博多 1 番街店）；11:00 開門，比原以為的早餐時段晚，抵達日午餐時段沒問題。
價位：約 ¥600–800
營業：11:00–22:30
建議停留：25 分",google,https://www.google.com/maps/search/?api=1&query=%E5%9B%A0%E5%B9%A1%E3%81%86%E3%81%A9%E3%82%93%20%E5%8D%9A%E5%A4%9A%E3%83%87%E3%82%A4%E3%83%88%E3%82%B9%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
在掌,33.589438,130.398619,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.03）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.03",area,https://www.google.com/maps/search/?api=1&query=%E5%9C%A8%E6%8E%8C%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
夜明茶屋,33.159716,130.394908,餐飲,福岡,柳川市,"有明海的鄉土料理，吃得到彈塗魚（ムツゴロウ）等別處沒有的食材——柳川不只有鰻魚。
食べログ 3.43",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%A4%9C%E6%98%8E%E8%8C%B6%E5%B1%8B%20%E6%9F%B3%E5%B7%9D%E5%B8%82
天山 本店,33.51949,130.532403,餐飲,福岡,太宰府市,"太宰府的和菓子老店，參道上的第三個梅ヶ枝餅選項。
食べログ 3.57",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E5%B1%B1%20%E6%9C%AC%E5%BA%97%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
天麩羅処 ひらお（天神店）,33.588839,130.394289,餐飲,福岡,中央區・天神,"天麩羅処ひらお
福岡人吃天婦羅的首選，一份定食約 ¥800–1,200，現炸一道一道上桌，桌上還有免費吃到飽的醃魷魚。
CP 值極高所以永遠有人排；本店在機場附近，天神／博多的分店比較好排。
價位：約 ¥800–1,200
營業：10:30–21:00
建議停留：45 分",google,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E9%BA%A9%E7%BE%85%E5%87%A6%E3%81%B2%E3%82%89%E3%81%8A%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
寿司・活魚料理 玄海,33.565052,130.223465,餐飲,福岡,糸島市,"糸島的壽司與活魚料理，玄界灘漁獲。
食べログ 3.56",google,https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E3%83%BB%E6%B4%BB%E9%AD%9A%E6%96%99%E7%90%86%20%E7%8E%84%E6%B5%B7%20%E7%B3%B8%E5%B3%B6%E5%B8%82
岐志漁港 牡蠣小屋,33.574626,130.120647,餐飲,福岡,糸島市,"糸島規模最大的牡蠣小屋聚落，十幾間並排、自己在炭火上烤。10 月到 4 月為季節，2 月最肥。
糸島規模最大的牡蠣小屋聚落（糸島 6 個漁港共 20 幾家，岐志最集中）；距筑前前原駅需搭計程車約 15 分（無便利公車），一籃約 ¥1,000。會期約 10 月底–3 月底。⚠️ 各家都是不定休，臨時去有風險，先打電話。油煙重，別穿好衣服。
價位：牡蠣一籃約 ¥1,000
營業：09:00–17:00（烤牡蠣 10:00 起）
建議停留：1.5 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E5%BF%97%E6%BC%81%E6%B8%AF%20%E7%89%A1%E8%A0%A3%E5%B0%8F%E5%B1%8B%20%E7%B3%B8%E5%B3%B6%E5%B8%82
我逢人,33.590421,130.398924,餐飲,福岡,中央區・天神,"天神地區食べログ排行前段（4.14）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 4.14",area,https://www.google.com/maps/search/?api=1&query=%E6%88%91%E9%80%A2%E4%BA%BA%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
椛島氷菓,33.159313,130.398964,餐飲,福岡,柳川市,"柳川的義式冰淇淋，遊船後散步順路。
食べログ 3.38",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%A4%9B%E5%B3%B6%E6%B0%B7%E8%8F%93%20%E6%9F%B3%E5%B7%9D%E5%B8%82
極味や（福岡 PARCO 店）,33.590618,130.398678,餐飲,福岡,中央區・天神,"極味や 福岡パルコ店
福岡最會排隊的漢堡排店。肉排半生上桌，自己在熱鐵板上煎到喜歡的熟度，一份約 ¥1,500 起。
⚠️ 常排 40–60 分，開店（約 11:00）前 20 分去最快；福岡 PARCO 新館 B1。
價位：約 ¥1,500–2,500
營業：11:00–21:00
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E6%A5%B5%E5%91%B3%E3%82%84%20%E7%A6%8F%E5%B2%A1%E3%83%91%E3%83%AB%E3%82%B3%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
河太郎 中洲本店,33.590066,130.409375,餐飲,福岡,博多區,"活花枝（イカ活き造り）的發源店，從呼子直送，透明花枝上桌後再把剩下的部分做成天婦羅。
約 ¥4,000–6,000；需訂位，花枝有時售完。定休日只有お盆與年末年始，2/3（三）正常營業；晚餐 17:30 開始（食物 L.O. 21:00）。
價位：約 ¥4,000–6,000
營業：午 11:45–14:00／晚 17:30–22:00（週日假日 17:00–21:30）
建議停留：1.5 小時
食べログ 3.72",google,https://www.google.com/maps/search/?api=1&query=%E6%B2%B3%E5%A4%AA%E9%83%8E%20%E4%B8%AD%E6%B4%B2%E6%9C%AC%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
油 ヒトツキ,33.588912,130.420828,餐飲,福岡,博多區・博多站,"博多地區食べログ排行前段（3.73）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.73",area,https://www.google.com/maps/search/?api=1&query=%E6%B2%B9%20%E3%83%92%E3%83%88%E3%83%84%E3%82%AD%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
炭とおがわ,33.592424,130.405844,餐飲,福岡,博多區・中洲,"中洲地區食べログ排行前段（3.92）。這批是我用 Tabelog 各區「依評分排序」頁面掃出來、原本名單漏掉的高分店。
⚠️ 只查證了分數與所在地區，營業時間、價位、是否需預約都未查證——多為高單價或預約制，去之前請用 popup 的食べログ連結自行確認。座標為區域概略位置，導航用 Google Maps 連結。
建議停留：1–2 小時
食べログ 3.92",area,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E3%81%A8%E3%81%8A%E3%81%8C%E3%82%8F%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E4%B8%AD%E6%B4%B2
炭焼地鶏 山蔵,33.525797,130.551415,餐飲,福岡,太宰府市,"太宰府市內評分最高的餐廳（3.74），炭火地雞。
⚠️ 需訂位；離參道有一段距離。
食べログ 3.74",google,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%E5%9C%B0%E9%B6%8F%20%E5%B1%B1%E8%94%B5%20%E5%A4%AA%E5%AE%B0%E5%BA%9C%E5%B8%82
焼き鳥 こと,33.588369,130.403433,餐飲,福岡,中央區・天神,"天神第 2 名的燒鳥，4.17 在燒鳥類是全國前段班。
⚠️ 需提前訂位。
食べログ 4.17",google,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E3%81%8D%E9%B3%A5%20%E3%81%93%E3%81%A8%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
焼き鳥 松元 西中洲店,33.590885,130.405251,餐飲,福岡,博多區・西中洲,"西中洲的高評價燒鳥，也做水炊き，是「想吃燒鳥又想喝一杯」的選擇。
⚠️ 需訂位。
食べログ 3.67",google,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E3%81%8D%E9%B3%A5%20%E6%9D%BE%E5%85%83%20%E8%A5%BF%E4%B8%AD%E6%B4%B2%E5%BA%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E8%A5%BF%E4%B8%AD%E6%B4%B2
